exhaustive_data,D1,D10,D2,D3,D4,D5,D6,D7,D8,D9 
0.0326462,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0319308,-999,0.0319308,-999,-999,-999,-999,-999,-999,-999,-999
0.0309923,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0287077,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0295154,-999,-999,-999,-999,-999,0.0295154,-999,-999,-999,-999
0.0293308,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0316692,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0337,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0350923,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0366462,-999,-999,-999,-999,0.0366462,-999,-999,-999,-999,-999
0.0377154,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0367923,-999,-999,-999,-999,-999,-999,0.0367923,-999,-999,-999
0.0373231,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0380769,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0396538,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0420077,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0411923,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0396308,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0394846,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0397154,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0411692,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0421,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0465,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0460615,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0517769,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0546385,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0574692,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0572538,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0585308,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0597077,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0928923,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.144408,-999,-999,-999,-999,0.144408,-999,-999,-999,-999,-999
0.192669,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
